location1,location2,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
a0,1,219.6, 182.2, 189.4, 191.8, 196.0, 189.4, 195.6, 198.2
a0,1,224.4, 189.6, 189.4, 190.0, 189.6, 199.8, 195.4, 197.0
a0,1,220.0, 187.0, 185.8, 190.0, 188.2, 188.2, 189.4, 185.2
a0,1,204.4, 184.0, 185.8, 190.0, 194.8, 194.8, 192.0, 194.71
a0,1,220.2, 191.8, 195.4, 194.2, 199.6, 190.6, 199.0, 197.8
a0,1,213.4, 190.6, 187.6, 195.4, 193.0, 200.8, 195.4, 198.4
a0,1,219.4, 194.8, 196.6, 191.2, 195.4, 202.0, 195.4, 188.2
a0,1,205.6, 183.4, 187.0, 195.4, 197.2, 194.2, 200.8, 187.6
a0,1,213.4, 190.8, 190.0, 199.6, 193.8, 191.8, 191.4, 195.6
a0,1,209.8, 191.8, 190.0, 192.4, 197.0, 199.2, 195.6, 192.2
a0,1,219.6, 187.0, 197.8, 190.0, 194.8, 191.2, 191.8, 192.4
a0,1,213.2, 184.0, 197.8, 192.4, 192.4, 198.4, 195.4, 195.4
a0,1,208.0, 180.4, 187.0, 192.4, 196.6, 193.0, 193.6, 190.0
a0,1,212.2, 183.25, 191.8, 190.0, 191.8, 200.8, 197.2, 196.6
b0,1,207.4, 185.2, 185.8, 188.2, 192.4, 195.4, 197.8, 192.4
b0,1,204.4, 184.6, 197.8, 196.0, 189.4, 190.6, 185.8, 194.2
b0,1,220.0, 182.2, 182.2, 185.2, 187.6, 196.6, 186.4, 194.2
b0,1,203.8, 182.2, 185.0, 190.0, 185.8, 191.2, 190.0, 191.0
b0,1,205.8, 179.8, 183.4, 185.8, 187.0, 191.2, 191.2, 197.2
b0,1,196.0, 184.0, 188.8, 185.8, 195.4, 196.6, 195.4, 192.4
b0,1,201.4, 188.8, 187.0, 189.4, 193.0, 194.2, 189.4, 202.0
b0,1,207.4, 184.5, 191.8, 185.8, 191.2, 190.6, 191.8, 191.8
b0,1,217.0, 185.8, 193.6, 198.4, 194.8, 190.6, 194.2, 188.8
b0,1,207.6, 180.4, 183.4, 191.2, 185.8, 193.6, 190.6, 195.4
b0,1,196.6, 185.8, 194.8, 192.4, 189.4, 191.8, 193.6, 196.6
b0,1,210.4, 191.8, 187.75, 191.8, 198.4, 195.4, 197.2, 195.4
a1,1,215.8, 184.0, 190.0, 196.6, 195.6, 197.6, 191.0, 195.6
a1,1,206.8, 182.0, 181.0, 190.0, 190.6, 185.8, 188.2, 200.8
a1,1,207.4, 185.2, 191.8, 199.0, 196.6, 194.8, 187.6, 190.6
a1,1,218.2, 192.4, 190.6, 195.4, 199.0, 201.4, 191.8, 196.0
a1,1,214.2, 186.4, 189.4, 195.4, 198.4, 196.6, 195.4, 199.0
a1,1,214.0, 182.2, 191.8, 193.0, 194.2, 196.0, 191.2, 191.2
a1,1,207.4, 190.0, 186.4, 191.2, 197.2, 199.6, 196.0, 199.0
a1,1,203.8, 181.0, 190.42857142857142, 196.0, 196.0, 197.2, 196.0, 200.8
a1,1,223.0, 181.0, 196.0, 197.8, 202.0, 203.2, 199.0, 203.8
a1,1,215.8, 188.2, 187.6, 196.6, 191.8, 202.0, 198.4, 201.4
a1,1,207.4, 187.75, 187.0, 191.8, 185.2, 189.4, 192.4, 195.4
a1,1,218.2, 178.6, 191.2, 196.0, 195.4, 195.4, 192.4, 195.0
a1,1,216.6, 179.8, 188.2, 193.6, 200.2, 191.2, 194.2, 190.0
a1,1,207.4, 179.8, 184.6, 191.8, 187.0, 188.8, 190.42857142857142, 188.2
b1,1,207.8, 193.0, 196.0, 194.0, 193.4, 195.6, 192.6, 192.8
b1,1,213.4, 192.4, 187.6, 190.6, 200.2, 198.4, 191.8, 197.8
b1,1,198.4, 186.4, 189.0, 192.4, 192.4, 193.6, 201.4, 196.6
b1,1,204.4, 189.4, 190.6, 192.4, 195.4, 200.8, 194.2, 194.2
b1,1,215.8, 185.8, 192.4, 195.4, 194.2, 194.8, 198.4, 199.0
b1,1,211.0, 189.4, 193.0, 191.2, 195.4, 197.8, 197.8, 198.4
b1,1,209.0, 187.0, 189.4, 193.2, 195.4, 191.2, 193.2, 198.2
b1,1,207.6, 196.0, 189.25, 188.8, 199.0, 193.6, 194.2, 197.8
b1,1,216.4, 191.8, 193.0, 189.4, 197.2, 196.0, 198.4, 200.8
b1,1,215.4, 191.8, 191.8, 200.8, 193.6, 194.8, 196.6, 198.4
b1,1,204.4, 190.0, 188.5, 195.4, 201.4, 199.0, 201.4, 193.0
b1,1,214.0, 187.6, 185.8, 195.4, 196.6, 198.4, 195.4, 200.2
b1,1,221.0, 183.4, 190.42857142857142, 197.2, 195.4, 195.4, 193.0, 193.0
b1,1,203.4, 185.6, 185.8, 185.8, 204.8, 198.0, 191.8, 184.6
